Group,best_GlobDockQ_v2_ref,best_model_v2_ref,best_version_v2_ref,best_model_v1_ref,best_version_v1_ref,best_GlobDockQ_v1_ref,best_v1_ref,best_v2_ref,Combined_Score
TS294,0.353,M1239v2TS294_3.pdb ,v2,M1239v1TS294_4.pdb ,v1,0.7921,0.7921,0.353,1.1451
TS110,0.31,M1239v2TS110_4.pdb ,v2,M1239v1TS110_1.pdb ,v1,0.8214,0.8214,0.31,1.1314
TS286,0.35,M1239v2TS286_1.pdb ,v2,M1239v1TS286_4.pdb ,v1,0.7567999999999999,0.7567999999999999,0.35,1.1067999999999998
TS489,0.273,M1239v2TS489_4.pdb ,v2,M1239v1TS489_5.pdb ,v1,0.7668,0.7668,0.273,1.0398
TS481,0.263,M1239v2TS481_2.pdb ,v2,M1239v1TS481_4.pdb ,v1,0.7659,0.7659,0.263,1.0289000000000001
TS208,0.29,M1239v2TS208_4.pdb ,v2,M1239v1TS208_2.pdb ,v1,0.7291000000000001,0.7291000000000001,0.29,1.0191000000000001
TS450,0.232,M1239v2TS450_5.pdb ,v2,M1239v1TS450_4.pdb ,v1,0.7562,0.7562,0.232,0.9882
TS167,0.232,M1239v2TS167_5.pdb ,v2,M1239v1TS167_4.pdb ,v1,0.7562,0.7562,0.232,0.9882
TS159,0.276,M1239v2TS159_2.pdb ,v2,M1239v1TS159_2.pdb ,v1,0.6954,0.6954,0.276,0.9714
TS325,0.276,M1239v2TS325_2.pdb ,v2,M1239v1TS325_2.pdb ,v1,0.6954,0.6954,0.276,0.9714
TS091,0.266,M1239v2TS091_5.pdb ,v2,M1239v1TS091_5.pdb ,v1,0.662,0.662,0.266,0.928
TS262,0.258,M1239v2TS262_4.pdb ,v2,M1239v1TS262_5.pdb ,v1,0.6678,0.6678,0.258,0.9258
TS033,0.257,M1239v2TS033_3.pdb ,v2,M1239v1TS033_3.pdb ,v1,0.6627,0.6627,0.257,0.9197
TS231,0.227,M1239v2TS231_5.pdb ,v2,M1239v1TS231_2.pdb ,v1,0.6542,0.6542,0.227,0.8812
TS028,0.276,M1239v2TS028_3.pdb ,v2,M1239v1TS028_3.pdb ,v1,0.5894,0.5894,0.276,0.8654000000000001
TS462,0.271,M1239v2TS462_5.pdb ,v2,M1239v1TS462_4.pdb ,v1,0.5856,0.5856,0.271,0.8566
TS235,0.317,M1239v2TS235_5.pdb ,v2,M1239v1TS235_1.pdb ,v1,0.45780000000000004,0.45780000000000004,0.317,0.7748
TS241,0.316,M1239v2TS241_3.pdb ,v2,M1239v1TS241_3.pdb ,v1,0.36360000000000003,0.36360000000000003,0.316,0.6796
TS304,0.322,M1239v2TS304_4.pdb ,v2,M1239v1TS304_1.pdb ,v1,0.3196,0.3196,0.322,0.6416
TS272,0.162,M1239v2TS272_3.pdb ,v2,M1239v1TS272_3.pdb ,v1,0.44530000000000003,0.44530000000000003,0.162,0.6073000000000001
TS014,0.208,M1239v2TS014_2.pdb ,v2,M1239v1TS014_1.pdb ,v1,0.1487,0.1487,0.208,0.3567
