Group,Group_Name,TSBI_Score,Balance,Combined_Score,Best_v1_ref,Best_v2_ref,V1_Model_For_Combined_Score,V2_Model_For_Combined_Score,Best_Score,Best_Source,v1_v1_Score,v1_v2_Score,v2_v1_Score,v2_v2_Score,v1_v1_ModelNumber,v1_v2_ModelNumber,v2_v1_ModelNumber,v2_v2_ModelNumber
TS294,KiharaLab,1.4817999999999998,0.9666014350945857,1.533,0.7921,0.7409,TS294_v1_4,TS294_v2_3,0.7921,v1_v1,0.7921,0.0,0.0,0.7409,4,,,3
TS286,CSSB_experimental,1.4704000000000002,0.9855227882037535,1.492,0.7567999999999999,0.7352000000000001,TS286_v1_4,TS286_v2_1,0.7567999999999999,v1_v1,0.7567999999999999,0.0,0.0,0.7352000000000001,4,,,1
TS110,MIEnsembles-Server,1.3027999999999997,0.8845736013036393,1.4727999999999999,0.8214,0.6514,TS110_v1_1,TS110_v2_4,0.8214,v1_v1,0.8214,0.0,0.0,0.6514,1,,,4
TS489,Fernandez-Recio,1.1485999999999998,0.8564611140108865,1.3411,0.7668,0.5743,TS489_v1_5,TS489_v2_4,0.7668,v1_v1,0.7668,0.0,0.0,0.5743,5,,,4
TS208,falcon2,1.2166000000000001,0.9096754897562435,1.3374000000000001,0.7291000000000001,0.6083000000000001,TS208_v1_2,TS208_v2_4,0.7291000000000001,v1_v1,0.7291000000000001,0.0,0.0,0.6083000000000001,2,,,4
TS481,Vfold,1.1028,0.8371669323616489,1.3173,0.7659,0.5514,TS481_v1_4,TS481_v2_2,0.7659,v1_v1,0.7659,0.0,0.0,0.5514,4,,,2
TS325,405,1.1576,0.9084916025741642,1.2742,0.6954,0.5788,TS325_v1_2,TS325_v2_2,0.6954,v1_v1,0.6954,0.0,0.0,0.5788,2,,,2
TS159,406,1.1576,0.9084916025741642,1.2742,0.6954,0.5788,TS159_v1_2,TS159_v2_2,0.6954,v1_v1,0.6954,0.0,0.0,0.5788,2,,,2
TS167,OpenComplex,0.9734000000000002,0.783168396492075,1.2429000000000001,0.7562,0.4867,TS167_v1_4,TS167_v2_5,0.7562,v1_v1,0.7562,0.0,0.0,0.4867,4,,,5
TS450,OpenComplex_Server,0.9734000000000002,0.783168396492075,1.2429000000000001,0.7562,0.4867,TS450_v1_4,TS450_v2_5,0.7562,v1_v1,0.7562,0.0,0.0,0.4867,4,,,5
TS091,Huang-HUST,1.1178000000000001,0.9155540994348432,1.2209,0.662,0.5589000000000001,TS091_v1_5,TS091_v2_5,0.662,v1_v1,0.662,0.0,0.0,0.5589000000000001,5,,,5
TS262,CoDock,1.0828000000000002,0.8954680780681443,1.2092,0.6678,0.5414,TS262_v1_5,TS262_v2_4,0.6678,v1_v1,0.6678,0.0,0.0,0.5414,5,,,4
TS033,Diff,1.0804,0.8981627732978635,1.2029,0.6627,0.5402,TS033_v1_3,TS033_v2_3,0.6627,v1_v1,0.6627,0.0,0.0,0.5402,3,,,3
TS028,NKRNA-s,1.1583999999999999,0.9912716070511722,1.1686,0.5894,0.5791999999999999,TS028_v1_3,TS028_v2_3,0.5894,v1_v1,0.5894,0.0,0.0,0.5791999999999999,3,,,3
TS462,Zheng,1.1363999999999999,0.984919396775871,1.1538,0.5856,0.5682,TS462_v1_4,TS462_v2_5,0.5856,v1_v1,0.5856,0.0,0.0,0.5682,4,,,5
TS231,B-LAB,0.9541999999999998,0.8434544329532395,1.1313,0.6542,0.4770999999999999,TS231_v1_2,TS231_v2_5,0.6542,v1_v1,0.6542,0.0,0.0,0.4770999999999999,2,,,5
TS235,isyslab-hust,0.8881999999999999,0.984809845880918,0.9018999999999999,0.4578,0.4441,TS235_v1_1,TS235_v2_5,0.4578,v1_v1,0.4578,0.0,0.0,0.4441,1,,,5
TS272,GromihaLab,0.6788,0.8650439658468204,0.7847,0.4453,0.3394,TS272_v1_3,TS272_v2_3,0.4453,v1_v1,0.4453,0.0,0.0,0.3394,3,,,3
TS241,elofsson,0.6322,0.9301162277475357,0.6797,0.3636,0.3161,TS241_v1_3,TS241_v2_3,0.3636,v1_v1,0.3636,0.0,0.0,0.3161,3,,,3
TS304,AF3-server,0.6392,0.9961040984883902,0.6416999999999999,0.3196,0.3221,TS304_v1_1,TS304_v2_4,0.3221,v2_v2,0.3196,0.0,0.0,0.3221,1,,,4
TS014,Cool-PSP,0.24939999999999996,0.9122165325530358,0.2734,0.1487,0.1247,TS014_v1_1,TS014_v2_2,0.1487,v1_v1,0.1487,0.0,0.0,0.1247,1,,,2
