Group,best_lDDT_v1_ref,best_model_v1_ref,best_version_v1_ref,best_model_v2_ref,best_version_v2_ref,best_lDDT_v2_ref,best_v1_ref,best_v2_ref,Combined_Score
TS304,0.789,T1249v1TS304_2o,v1,T1249v2TS304_1o,v2,0.811,0.789,0.811,1.6
TS314,0.758,T1249v1TS314_2o,v1,T1249v2TS314_1o,v2,0.805,0.758,0.805,1.5630000000000002
TS241,0.794,T1249v2TS241_5o,v2,T1249v1TS241_3o,v1,0.758,0.794,0.758,1.552
TS393,0.779,T1249v1TS393_3o,v1,T1249v2TS393_5o,v2,0.773,0.779,0.773,1.552
TS015,0.805,T1249v1TS015_2o,v1,T1249v2TS015_1o,v2,0.745,0.805,0.745,1.55
TS345,0.788,T1249v1TS345_5o,v1,T1249v2TS345_5o,v2,0.761,0.788,0.761,1.549
TS375,0.787,T1249v1TS375_3o,v1,T1249v2TS375_2o,v2,0.76,0.787,0.76,1.5470000000000002
TS272,0.744,T1249v2TS272_1o,v2,T1249v1TS272_2o,v1,0.803,0.744,0.803,1.5470000000000002
TS284,0.798,T1249v2TS284_1o,v2,T1249v1TS284_4o,v1,0.747,0.798,0.747,1.545
TS052,0.783,T1249v1TS052_1o,v1,T1249v2TS052_1o,v2,0.762,0.783,0.762,1.545
TS110,0.789,T1249v2TS110_5o,v2,T1249v1TS110_3o,v1,0.756,0.789,0.756,1.545
TS475,0.798,T1249v2TS475_1o,v2,T1249v1TS475_4o,v1,0.747,0.798,0.747,1.545
TS075,0.798,T1249v2TS075_1o,v2,T1249v1TS075_4o,v1,0.747,0.798,0.747,1.545
TS122,0.798,T1249v2TS122_2o,v2,T1249v1TS122_5o,v1,0.747,0.798,0.747,1.545
TS051,0.785,T1249v1TS051_3o,v1,T1249v2TS051_5o,v2,0.759,0.785,0.759,1.544
TS290,0.784,T1249v1TS290_5o,v1,T1249v2TS290_1o,v2,0.76,0.784,0.76,1.544
TS287,0.792,T1249v2TS287_1o,v2,T1249v1TS287_4o,v1,0.751,0.792,0.751,1.5430000000000001
TS319,0.783,T1249v1TS319_4o,v1,T1249v2TS319_2o,v2,0.76,0.783,0.76,1.5430000000000001
TS425,0.783,T1249v1TS425_4o,v1,T1249v2TS425_2o,v2,0.76,0.783,0.76,1.5430000000000001
TS331,0.783,T1249v1TS331_4o,v1,T1249v2TS331_2o,v2,0.76,0.783,0.76,1.5430000000000001
TS028,0.786,T1249v2TS028_4o,v2,T1249v1TS028_2o,v1,0.757,0.786,0.757,1.5430000000000001
TS462,0.785,T1249v2TS462_3o,v2,T1249v1TS462_1o,v1,0.756,0.785,0.756,1.541
TS147,0.785,T1249v2TS147_3o,v2,T1249v1TS147_1o,v1,0.756,0.785,0.756,1.541
TS397,0.794,T1249v2TS397_1o,v2,T1249v1TS397_1o,v1,0.746,0.794,0.746,1.54
TS167,0.783,T1249v2TS167_2o,v2,T1249v1TS167_5o,v1,0.756,0.783,0.756,1.5390000000000001
TS450,0.783,T1249v2TS450_2o,v2,T1249v1TS450_5o,v1,0.756,0.783,0.756,1.5390000000000001
TS293,0.799,T1249v1TS293_2o,v1,T1249v2TS293_5o,v2,0.738,0.799,0.738,1.537
TS079,0.799,T1249v1TS079_2o,v1,T1249v2TS079_5o,v2,0.738,0.799,0.738,1.537
TS369,0.778,T1249v1TS369_3o,v1,T1249v2TS369_2o,v2,0.758,0.778,0.758,1.536
TS456,0.79,T1249v1TS456_2o,v1,T1249v2TS456_5o,v2,0.745,0.79,0.745,1.5350000000000001
TS294,0.788,T1249v2TS294_3o,v2,T1249v1TS294_1o,v1,0.746,0.788,0.746,1.534
TS312,0.774,T1249v2TS312_1o,v2,T1249v1TS312_5o,v1,0.76,0.774,0.76,1.534
TS264,0.774,T1249v2TS264_1o,v2,T1249v1TS264_5o,v1,0.76,0.774,0.76,1.534
TS022,0.777,T1249v1TS022_5o,v1,T1249v2TS022_1o,v2,0.754,0.777,0.754,1.5310000000000001
TS091,0.774,T1249v2TS091_4o,v2,T1249v1TS091_1o,v1,0.756,0.774,0.756,1.53
TS148,0.774,T1249v2TS148_1o,v2,T1249v1TS148_1o,v1,0.751,0.774,0.751,1.525
TS204,0.783,T1249v2TS204_3o,v2,T1249v1TS204_3o,v1,0.739,0.783,0.739,1.522
TS008,0.77,T1249v1TS008_4o,v1,T1249v2TS008_5o,v2,0.749,0.77,0.749,1.5190000000000001
TS059,0.774,T1249v1TS059_1o,v1,T1249v2TS059_2o,v2,0.738,0.774,0.738,1.512
TS164,0.771,T1249v2TS164_5o,v2,T1249v1TS164_2o,v1,0.74,0.771,0.74,1.5110000000000001
TS145,0.756,T1249v1TS145_1o,v1,T1249v2TS145_5o,v2,0.755,0.756,0.755,1.5110000000000001
TS380,0.756,T1249v1TS380_3o,v1,T1249v2TS380_5o,v2,0.755,0.756,0.755,1.5110000000000001
TS267,0.776,T1249v2TS267_3o,v2,T1249v1TS267_3o,v1,0.735,0.776,0.735,1.5110000000000001
TS198,0.764,T1249v2TS198_2o,v2,T1249v1TS198_3o,v1,0.746,0.764,0.746,1.51
TS311,0.763,T1249v1TS311_3o,v1,T1249v2TS311_1o,v2,0.747,0.763,0.747,1.51
TS014,0.797,T1249v1TS014_1o,v1,T1249v2TS014_1o,v2,0.712,0.797,0.712,1.509
TS301,0.773,T1249v2TS301_1o,v2,T1249v1TS301_3o,v1,0.736,0.773,0.736,1.509
TS208,0.762,T1249v2TS208_4o,v2,T1249v1TS208_5o,v1,0.744,0.762,0.744,1.506
TS163,0.76,T1249v1TS163_3o,v1,T1249v2TS163_3o,v2,0.745,0.76,0.745,1.505
TS494,0.747,T1249v1TS494_2o,v1,T1249v2TS494_5o,v2,0.745,0.747,0.745,1.492
TS187,0.748,T1249v1TS187_1o,v1,T1249v2TS187_1o,v2,0.737,0.748,0.737,1.4849999999999999
TS322,0.744,T1249v1TS322_4o,v1,T1249v2TS322_1o,v2,0.738,0.744,0.738,1.482
TS219,0.744,T1249v1TS219_4o,v1,T1249v2TS219_1o,v2,0.738,0.744,0.738,1.482
TS274,0.747,T1249v2TS274_1o,v2,T1249v1TS274_5o,v1,0.73,0.747,0.73,1.4769999999999999
TS423,0.747,T1249v2TS423_2o,v2,T1249v1TS423_4o,v1,0.723,0.747,0.723,1.47
TS031,0.754,T1249v2TS031_5o,v2,T1249v1TS031_5o,v1,0.711,0.754,0.711,1.4649999999999999
TS261,0.716,T1249v1TS261_3o,v1,T1249v2TS261_1o,v2,0.723,0.716,0.723,1.439
TS465,0.737,T1249v1TS465_1o,v1,T1249v2TS465_3o,v2,0.69,0.737,0.69,1.427
TS262,0.608,T1249v2TS262_2o,v2,T1249v1TS262_5o,v1,0.717,0.608,0.717,1.325
TS323,0.755,T1249v2TS323_1o,v2,T1249v1TS323_1o,v1,0.489,0.755,0.489,1.244
TS221,0.645,T1249v1TS221_1o,v1,T1249v2TS221_1o,v2,0.571,0.645,0.571,1.216
TS286,0.645,T1249v1TS286_1o,v1,T1249v2TS286_1o,v2,0.571,0.645,0.571,1.216
TS419,0.645,T1249v1TS419_1o,v1,T1249v2TS419_1o,v2,0.571,0.645,0.571,1.216
TS489,0.548,T1249v1TS489_3o,v1,T1249v2TS489_3o,v2,0.528,0.548,0.528,1.076
TS117,0.654,T1249v2TS117_2o,v2,T1249v1TS117_2o,v1,0.419,0.654,0.419,1.073
TS196,0.51,T1249v2TS196_3o,v2,T1249v1TS196_1o,v1,0.557,0.51,0.557,1.0670000000000002
TS085,0.429,T1249v1TS085_5o,v1,T1249v2TS085_5o,v2,0.547,0.429,0.547,0.976
TS040,0.719,T1249v2TS040_3o,v2,,,,0.719,0.0,0.719
TS139,0.248,T1249v2TS139_4o,v2,T1249v1TS139_5o,v1,0.4,0.248,0.4,0.648
TS114,0.178,T1249v2TS114_4o,v2,T1249v1TS114_4o,v1,0.182,0.178,0.182,0.36
TS337,0.173,T1249v2TS337_1o,v2,T1249v1TS337_1o,v1,0.177,0.173,0.177,0.35
TS300,0.166,T1249v2TS300_1o,v2,T1249v1TS300_1o,v1,0.17,0.166,0.17,0.336
TS023,0.158,T1249v2TS023_3o,v2,T1249v1TS023_3o,v1,0.159,0.158,0.159,0.317
